LanePointX,LanePointY
-1.646000,4.000000
-1.645958,4.000000
-1.645875,4.000000
-1.645750,4.000000
-1.645583,4.000000
-1.645375,4.000000
-1.645125,4.000000
-1.644833,4.000000
-1.644500,4.000000
-1.644125,4.000000
-1.643708,4.000000
-1.643306,4.000000
-1.642917,4.000000
-1.642543,4.000000
-1.642183,4.000000
-1.641836,4.000000
-1.641505,4.000000
-1.641187,4.000000
-1.640883,4.000000
-1.640594,4.000000
-1.640318,4.000000
-1.640057,4.000000
-1.639810,4.000000
-1.639576,4.000000
-1.639358,4.000000
-1.639153,4.000000
-1.638962,4.000000
-1.638786,4.000000
-1.638623,4.000000
-1.638475,4.000000
-1.638341,4.000000
-1.638221,4.000000
-1.638115,4.000000
-1.638023,4.000000
-1.637945,4.000000
-1.637882,4.000000
-1.637832,4.000000
-1.637797,4.000000
-1.637776,4.000000
-1.637769,4.000000
-1.637776,4.000000
-1.637776,4.000000
-1.637776,4.000000
-1.637776,4.000000
-1.637776,4.000000
-1.637776,4.000000
-1.637776,4.000000
-1.637776,4.000000
-1.637776,4.000000
-1.637776,4.000000
-1.637776,4.000000
-1.637734,4.000000
-1.637651,4.000000
-1.637526,4.000000
-1.637303,4.000000
-1.636983,4.000000
-1.636566,4.000000
-1.635995,4.000000
-1.635272,4.000000
-1.634394,4.000000
-1.633308,4.000000
-1.632017,4.000000
-1.630508,4.000000
-1.628739,4.000000
-1.626713,4.000000
-1.624406,4.000000
-1.621787,4.000000
-1.618856,4.000000
-1.615598,4.000000
-1.611949,4.000000
-1.607933,4.000000
-1.603559,4.000000
-1.598722,4.000000
-1.593468,4.000000
-1.587799,4.000000
-1.581605,4.000000
-1.574941,4.000000
-1.567813,4.000000
-1.560122,4.000000
-1.551855,4.000000
-1.543101,4.000000
-1.533747,4.000000
-1.523876,4.000000
-1.513494,4.000000
-1.502501,4.000000
-1.491001,4.000000
-1.478994,4.000000
-1.466367,4.000000
-1.453215,4.000000
-1.439602,4.000000
-1.425382,4.000000
-1.410570,4.000000
-1.395265,4.000000
-1.379465,4.000000
-1.363015,4.000000
-1.346079,4.000000
-1.328646,4.000000
-1.310565,4.000000
-1.292002,4.000000
-1.272944,4.000000
-1.253288,4.000000
-1.233027,4.000000
-1.212281,4.000000
-1.190991,4.000000
-1.169165,4.000000
-1.146789,4.000000
-1.123870,4.000000
-1.100406,4.000000
-1.076402,4.000000
-1.051922,4.000000
-1.026738,4.000000
-1.001118,4.000000
-0.974934,4.000000
-0.948211,4.000000
-0.920944,4.000000
-0.893134,4.000000
-0.864776,4.000000
-0.835875,4.000000
-0.806433,4.000000
-0.776448,4.000000
-0.745923,4.000000
-0.714836,4.000000
-0.683331,4.000000
-0.651178,4.000000
-0.618374,4.000000
-0.585235,4.000000
-0.551441,4.000000
-0.517009,4.000000
-0.482126,4.000000
-0.446690,4.000000
-0.410746,4.000000
-0.374339,4.000000
-0.337193,4.000000
-0.299587,4.000000
-0.261454,4.000000
-0.222786,4.000000
-0.183562,4.000000
-0.143764,4.000000
-0.103487,4.000000
-0.062626,4.000000
-0.021238,4.000000
0.020717,4.000000
0.063179,4.000000
0.106212,4.000000
0.149775,4.000000
0.193914,4.000000
0.238543,4.000000
0.283609,4.000000
0.329473,4.000000
0.375750,4.000000
0.422583,4.000000
0.469940,4.000000
0.517864,4.000000
0.566333,4.000000
0.615308,4.000000
0.664849,4.000000
0.714941,4.000000
0.765409,4.000000
0.816736,4.000000
0.868427,4.000000
0.920529,4.000000
0.973324,4.000000
1.026831,4.000000
1.080565,4.000000
1.134963,4.000000
1.189937,4.000000
1.245448,4.000000
1.301490,4.000000
1.358092,4.000000
1.415237,4.000000
1.472901,4.000000
1.531126,4.000000
1.589884,4.000000
1.649188,4.000000
1.709051,4.000000
1.769440,4.000000
1.830375,4.000000
1.891848,4.000000
1.954180,4.000000
2.016443,4.000000
2.079518,4.000000
2.143361,4.000000
2.207555,4.000000
2.272091,4.000000
2.337553,4.000000
2.403170,4.000000
2.469536,4.000000
2.536642,4.000000
2.604202,4.000000
2.671867,4.000000
2.740366,4.000000
2.809655,4.000000
2.879048,4.000000
2.949186,4.000000
3.020087,4.000000
3.091131,4.000000
3.162918,4.000000
3.235435,4.000000
3.308298,4.000000
3.381708,4.000000
3.455640,4.000000
3.530123,4.000000
3.605170,4.000000
3.680722,4.000000
3.756827,4.000000
3.833386,4.000000
3.910344,4.000000
3.987743,4.000000
4.065589,4.000000
4.143836,4.000000
4.222535,4.000000
4.301409,4.000000
4.381180,4.000000
4.461167,4.000000
4.541565,4.000000
4.622302,4.000000
4.703355,4.000000
4.784704,4.000000
4.866411,4.000000
4.948396,4.000000
5.030759,4.000000
5.113333,4.000000
5.196308,4.000000
5.279563,4.000000
5.363136,4.000000
5.446949,4.000000
5.530998,4.000000
5.614920,4.000000
5.699544,4.000000
5.784160,4.000000
5.869008,4.000000
5.954041,4.000000
6.039283,4.000000
6.124720,4.000000
6.210346,4.000000
6.296112,4.000000
6.381965,4.000000
6.467620,4.000000
6.553912,4.000000
6.640038,4.000000
6.726262,4.000000
6.812591,4.000000
6.898953,4.000000
6.985236,4.000000
7.072055,4.000000
7.158667,4.000000
7.245210,4.000000
7.331489,4.000000
7.418272,4.000000
7.504793,4.000000
7.591276,4.000000
7.677755,4.000000
7.764218,4.000000
7.850654,4.000000
7.936791,4.000000
8.023483,4.000000
8.109863,4.000000
8.196243,4.000000
8.282594,4.000000
8.368686,4.000000
8.455270,4.000000
8.541561,4.000000
8.627870,4.000000
8.714117,4.000000
8.800093,4.000000
8.886593,4.000000
8.972818,4.000000
9.059035,4.000000
9.145212,4.000000
9.231153,4.000000
9.317547,4.000000
9.403661,4.000000
9.489768,4.000000
9.575899,4.000000
9.661700,4.000000
9.747782,4.000000
9.834115,4.000000
9.920134,4.000000
10.006123,4.000000
10.092133,4.000000
10.178102,4.000000
10.264061,4.000000
10.350020,4.000000
10.435981,4.000000
10.521871,4.000000
10.607746,4.000000
10.693622,4.000000
10.779488,4.000000
10.865079,4.000000
10.950890,4.000000
11.036704,4.000000
11.122753,4.000000
11.208537,4.000000
11.294292,4.000000
11.380028,4.000000
11.465747,4.000000
11.551459,4.000000
11.637156,4.000000
11.722828,4.000000
11.808529,4.000000
11.894090,4.000000
11.979461,4.000000
12.065336,4.000000
12.150927,4.000000
12.236246,4.000000
12.322061,4.000000
12.407601,4.000000
12.492856,4.000000
12.578613,4.000000
12.664127,4.000000
12.749570,4.000000
12.834772,4.000000
12.920466,4.000000
13.005933,4.000000
13.091011,4.000000
13.176672,4.000000
13.262019,4.000000
13.347125,4.000000
13.432696,4.000000
13.517776,4.000000
13.603311,4.000000
13.688353,4.000000
13.773852,4.000000
13.859163,4.000000
13.944329,4.000000
14.029537,4.000000
14.114797,4.000000
14.199926,4.000000
14.285087,4.000000
14.370229,4.000000
14.455354,4.000000
14.540468,4.000000
14.625557,4.000000
14.710651,4.000000
14.795689,4.000000
14.880737,4.000000
14.965752,4.000000
15.050746,4.000000
15.135755,4.000000
15.220485,4.000000
15.305691,4.000000
15.390656,4.000000
15.475556,4.000000
15.560478,4.000000
15.645359,4.000000
15.730271,4.000000
15.815088,4.000000
15.899930,4.000000
15.984830,4.000000
16.069565,4.000000
16.154358,4.000000
16.239114,4.000000
16.323866,4.000000
16.408641,4.000000
16.493321,4.000000
16.577793,4.000000
16.662458,4.000000
16.747391,4.000000
16.832068,4.000000
16.916674,4.000000
17.001317,4.000000
17.085917,4.000000
17.170496,4.000000
17.255065,4.000000
17.339602,4.000000
17.423896,4.000000
17.508645,4.000000
17.593150,4.000000
17.677365,4.000000
17.762081,4.000000
17.846561,4.000000
17.930730,4.000000
18.015119,4.000000
18.099747,4.000000
18.184141,4.000000
18.268270,4.000000
18.352857,4.000000
18.437200,4.000000
18.521264,4.000000
18.605569,4.000000
18.690094,4.000000
18.774104,4.000000
18.858603,4.000000
18.942838,4.000000
19.026775,4.000000
19.111227,4.000000
19.195409,4.000000
19.279312,4.000000
19.363436,4.000000
19.447858,4.000000
19.531943,4.000000
19.615795,4.000000
19.700145,4.000000
19.784204,4.000000
19.867958,4.000000
19.952248,4.000000
20.036253,4.000000
20.120245,4.000000
20.204212,4.000000
20.288166,4.000000
20.372103,4.000000
20.456031,4.000000
20.539950,4.000000
20.623616,4.000000
20.707763,4.000000
20.791570,4.000000
20.875391,4.000000
20.958962,4.000000
21.043009,4.000000
21.126796,4.000000
21.210316,4.000000
21.294299,4.000000
21.378029,4.000000
21.461512,4.000000
21.545460,4.000000
21.629197,4.000000
21.712610,4.000000
21.796491,4.000000
21.880111,4.000000
21.963505,4.000000
22.047325,4.000000
22.130919,4.000000
22.214488,4.000000
22.297795,4.000000
22.381581,4.000000
22.465093,4.000000
22.548349,4.000000
22.632094,4.000000
22.715552,4.000000
22.798740,4.000000
22.882404,4.000000
22.965843,4.000000
23.048984,4.000000
23.132610,4.000000
23.215960,4.000000
23.299092,4.000000
23.382661,4.000000
23.466014,4.000000
23.549285,4.000000
23.632302,4.000000
23.715805,4.000000
23.799067,4.000000
23.882042,4.000000
23.965518,4.000000
24.048697,4.000000
24.131640,4.000000
24.215041,4.000000
24.298223,4.000000
24.381070,4.000000
